assignee,ticket_count,profile_confidence,top_products,top_components,top_priorities,top_keywords,representative_ticket_ids,inferred_responsibility
dev_0060,432,high,core (432),dom: core & html (101); css parsing and computation (72); layout (25); webrtc (25); dom: service workers (21); graphics: canvas2d (15); layout: text and fonts (15); svg (15),p4 (432),webrtc; sync add; sync webkit; webkit export; webkit; bugs.webkit.org; bugs.webkit.org show_bug.cgi; dom service,bmo_1879839; bmo_1882146; bmo_1874320; bmo_1873069; bmo_1872906,"Inferred from 432 historical tickets: likely focuses on dom: core & html, css parsing and computation, layout in core. Common work themes: webrtc, sync add, sync webkit, webkit export, webkit."
dev_0019,95,high,core (84); firefox (11),css parsing and computation (17); dom: core & html (11); dom: css object model (7); layout (7); widget: gtk (5); layout: tables (4); layout: form controls (3); dom: navigation (3),-- (56); p3 (24); p2 (10); p5 (4); p1 (1),theme; css object; dom css; animation; model; object model; profiler; bit,bmo_1875084; bmo_1882802; bmo_1873370; bmo_1874872; bmo_1876919,"Inferred from 95 historical tickets: likely focuses on css parsing and computation, dom: core & html, dom: css object model in core, firefox. Common work themes: theme, css object, dom css, animation, model."
dev_0054,40,high,firefox (33); core (7),search (20); messaging system (5); new tab page (5); dom: core & html (5); enterprise policies (2); xml (1); remote settings client (1); dom: file (1),-- (15); p3 (11); p2 (7); p1 (5); p5 (2),search; firefox search; aboutwelcome; eslint; asrouter; move; asrouter aboutwelcome; eslint rules,bmo_1880963; bmo_1881816; bmo_1881817; bmo_1877940; bmo_1879625,"Inferred from 40 historical tickets: likely focuses on search, messaging system, new tab page in firefox, core. Common work themes: search, firefox search, aboutwelcome, eslint, asrouter."
dev_0011,33,high,firefox (33),pdf viewer (32); general (1),p1 (16); -- (16); p3 (1),pdf; firefox pdf; pdf viewer; viewer; pdf.js; pdf.js new; update pdf.js; highlight,bmo_1879102; bmo_1876547; bmo_1879108; bmo_1879113; bmo_1881743,"Inferred from 33 historical tickets: likely focuses on pdf viewer, general in firefox. Common work themes: pdf, firefox pdf, pdf viewer, viewer, pdf.js."
dev_0007,30,high,firefox (19); core (11),settings ui (4); search (4); disability access apis (4); css parsing and computation (4); address bar (4); general (3); dom: core & html (2); tabbed browser (2),p3 (15); -- (5); p5 (4); p2 (4); p1 (2),system color; a11y_checks; settings; a11y_checks click; accessibilityutils; add exception; exception a11y_checks; update accessibilityutils,bmo_1882430; bmo_1872899; bmo_1878771; bmo_1872719; bmo_1882380,"Inferred from 30 historical tickets: likely focuses on settings ui, search, disability access apis in firefox, core. Common work themes: system color, a11y_checks, settings, a11y_checks click, accessibilityutils."
dev_0038,30,high,core (30),graphics: canvas2d (22); graphics (3); graphics: webgpu (2); graphics: webrender (1); printing: output (1); svg (1),-- (25); p1 (3); p3 (1); p5 (1),canvas2d; graphics canvas2d; gpu-canvas; canvas; demo; freezes; core graphics; graphics,bmo_1873075; bmo_1872776; bmo_1882538; bmo_1877010; bmo_1881646,"Inferred from 30 historical tickets: likely focuses on graphics: canvas2d, graphics, graphics: webgpu in core. Common work themes: canvas2d, graphics canvas2d, gpu-canvas, canvas, demo."
dev_0048,30,high,core (30),audio/video: playback (9); audio/video: web codecs (6); web audio (5); webrtc: audio/video (2); performance: general (2); xpcom (2); gecko profiler (1); webrtc (1),-- (23); p3 (3); p2 (2); p5 (2),audio; web audio; audio video; video; core audio; playback; video playback; video web,bmo_1879715; bmo_1874293; bmo_1879204; bmo_1882846; bmo_1879873,"Inferred from 30 historical tickets: likely focuses on audio/video: playback, audio/video: web codecs, web audio in core. Common work themes: audio, web audio, audio video, video, core audio."
dev_0006,29,high,core (28); firefox (1),javascript engine (14); xpconnect (9); dom: core & html (2); xpcom (2); dom: workers (1); tabbed browser (1),-- (15); p3 (7); p2 (3); p1 (2); p5 (2),core xpconnect; xpconnect; jit-test; mozjsmoduleloader; loader; javascript engine; engine; jsms,bmo_1875017; bmo_1878462; bmo_1881917; bmo_1881586; bmo_1873330,"Inferred from 29 historical tickets: likely focuses on javascript engine, xpconnect, dom: core & html in core, firefox. Common work themes: core xpconnect, xpconnect, jit-test, mozjsmoduleloader, loader."
dev_0055,29,high,core (29),widget: gtk (28); graphics (1),p3 (13); p2 (8); -- (7); p5 (1),gtk; widget gtk; core widget; widget; wayland; proxy; wayland proxy; messages,bmo_1877618; bmo_1878301; bmo_1879987; bmo_1880323; bmo_1882449,"Inferred from 29 historical tickets: likely focuses on widget: gtk, graphics in core. Common work themes: gtk, widget gtk, core widget, widget, wayland."
dev_0022,28,high,core (25); firefox (3),dom: core & html (7); layout (3); dom: animation (2); widget (2); css parsing and computation (2); dom: navigation (2); dom: events (2); layout: text and fonts (1),-- (26); p1 (1); p2 (1),pref core; e10s; e10s enabled; xpcomutils.definelazygetter; run; pref; remove; enabled,bmo_1876946; bmo_1877883; bmo_1874633; bmo_1872922; bmo_1876934,"Inferred from 28 historical tickets: likely focuses on dom: core & html, layout, dom: animation in core, firefox. Common work themes: pref core, e10s, e10s enabled, xpcomutils.definelazygetter, run."
dev_0043,28,high,core (28),general (6); mozglue (4); graphics: webrender (2); css parsing and computation (2); graphics (2); graphics: text (2); gecko profiler (1); xpcom (1),-- (28),core general; mozglue; error; core mozglue; general; file found; found core; mutable,bmo_1879464; bmo_1882947; bmo_1878782; bmo_1874346; bmo_1878780,"Inferred from 28 historical tickets: likely focuses on general, mozglue, graphics: webrender in core. Common work themes: core general, mozglue, error, core mozglue, general."
dev_0004,27,high,core (27),javascript engine: jit (12); javascript engine (12); javascript: standard library (2); internationalization (1),-- (9); p1 (6); p2 (5); p3 (4); p5 (3),jit; engine jit; javascript engine; engine; core javascript; javascript; portablebaselineinterpret.cpp; portablebaselineinterpret.cpp error,bmo_1875821; bmo_1874929; bmo_1878658; bmo_1879488; bmo_1873938,"Inferred from 27 historical tickets: likely focuses on javascript engine: jit, javascript engine, javascript: standard library in core. Common work themes: jit, engine jit, javascript engine, engine, core javascript."
dev_0035,26,high,core (24); firefox (2),dom: notifications (6); dom: push subscriptions (5); dom: core & html (4); graphics: imagelib (3); permission manager (2); sqlite and embedded database bindings (1); site permissions (1); menus (1),-- (20); p3 (4); p2 (2),notifications; push; notification; dom notifications; dom push; push subscriptions; subscriptions; libjxl,bmo_1879934; bmo_1874511; bmo_1875837; bmo_1876470; bmo_1876754,"Inferred from 26 historical tickets: likely focuses on dom: notifications, dom: push subscriptions, dom: core & html in core, firefox. Common work themes: notifications, push, notification, dom notifications, dom push."
dev_0001,25,high,firefox (25),address bar (25),p1 (17); p3 (6); p2 (1); p5 (1),rust; address bar; firefox address; bar; address; yelp; suggestion; suggestions,bmo_1881073; bmo_1874072; bmo_1879642; bmo_1879232; bmo_1881874,"Inferred from 25 historical tickets: likely focuses on address bar in firefox. Common work themes: rust, address bar, firefox address, bar, address."
dev_0040,24,high,core (24),dom: editor (7); dom: ui events & focus handling (7); dom: selection (4); dom: events (3); dom: core & html (1); performance: general (1); panning and zooming (1),-- (21); p1 (2); p5 (1),editor; events focus; focus handling; focus; dom editor; handling; events; dom events,bmo_1877447; bmo_1878191; bmo_1883048; bmo_1873794; bmo_1878224,"Inferred from 24 historical tickets: likely focuses on dom: editor, dom: ui events & focus handling, dom: selection in core. Common work themes: editor, events focus, focus handling, focus, dom editor."
dev_0013,23,high,core (23),layout (4); layout: grid (3); layout: form controls (3); dom: css object model (3); widget: gtk (3); printing: output (1); general (1); security: psm (1),-- (23),grid; height; form controls; layout form; controls; form; layout grid; gtk,bmo_1873802; bmo_1874871; bmo_1882921; bmo_1873763; bmo_1882617,"Inferred from 23 historical tickets: likely focuses on layout, layout: grid, layout: form controls in core. Common work themes: grid, height, form controls, layout form, controls."
dev_0005,22,high,core (22),graphics (11); graphics: canvas2d (8); layout (1); graphics: imagelib (1); graphics: webrender (1),p3 (15); -- (6); p2 (1),crash mozilla; mozilla; gpu process; core graphics; graphics; canvas2d; graphics canvas2d; gpu,bmo_1874241; bmo_1882573; bmo_1872956; bmo_1874523; bmo_1876538,"Inferred from 22 historical tickets: likely focuses on graphics, graphics: canvas2d, layout in core. Common work themes: crash mozilla, mozilla, gpu process, core graphics, graphics."
dev_0026,21,high,core (21),layout: text and fonts (10); graphics: text (6); graphics: canvas2d (2); internationalization (2); css parsing and computation (1),-- (21),graphics text; layout text; text fonts; fonts; text; balance; text-wrap balance; font,bmo_1875278; bmo_1873403; bmo_1880996; bmo_1881232; bmo_1882631,"Inferred from 21 historical tickets: likely focuses on layout: text and fonts, graphics: text, graphics: canvas2d in core. Common work themes: graphics text, layout text, text fonts, fonts, text."
dev_0029,21,high,core (21),security: psm (13); dom: web authentication (8),p3 (9); p2 (6); -- (4); p1 (2),authentication; web authentication; psm; security psm; dom web; core security; xyber768; security,bmo_1878742; bmo_1878385; bmo_1882396; bmo_1877790; bmo_1873537,"Inferred from 21 historical tickets: likely focuses on security: psm, dom: web authentication in core. Common work themes: authentication, web authentication, psm, security psm, dom web."
dev_0045,21,high,firefox (21),screenshots (20); security (1),p1 (9); p3 (5); -- (4); p5 (2); p2 (1),screenshots; firefox screenshots; screenshot; click; components screenshots; screenshots tests; button; visible,bmo_1875109; bmo_1873514; bmo_1872764; bmo_1880398; bmo_1880529,"Inferred from 21 historical tickets: likely focuses on screenshots, security in firefox. Common work themes: screenshots, firefox screenshots, screenshot, click, components screenshots."
