baseline,ticket_id,product,component,priority,expected_assignee,predicted_assignee,rank,reciprocal_rank,is_top1_correct,is_hit_at_3,is_hit_at_5,is_hit_at_10,error_type,ranked_candidates,title
global_majority,bmo_1873094,firefox,firefox view,P3,dev_0002,dev_0015,2,0.5,False,True,True,True,cold_start_component,dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005|dev_0006,Update the Firefox View Open Tabs test case to send a click on a menuitem itself instead of its container
global_majority,bmo_1873100,core,audio/video,P5,dev_0003,dev_0015,,0.0,False,False,False,False,long_tail_assignee,dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005|dev_0006,Some append(nsPrintfCString(...)) should be replaced by AppendPrintf
global_majority,bmo_1873102,core,layout: scrolling and overflow,P4,dev_0015,dev_0015,1,1.0,True,True,True,True,correct,dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005|dev_0006,[wpt-sync] Sync PR 43858 - Do not round the clipping region with mixed overflow clip
global_majority,bmo_1873106,core,audio/video: playback,P1,dev_0001,dev_0015,,0.0,False,False,False,False,wrong_assignee,dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005|dev_0006,[wmfme] enable 'test_BufferedSeek.html' and 'test_BufferedSeek_mp4.html' for the wmfme
global_majority,bmo_1873114,core,audio/video: playback,P1,dev_0001,dev_0015,,0.0,False,False,False,False,wrong_assignee,dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005|dev_0006,Provide more debug information for AudioStream by using `TRACE_COMMENT`
global_majority,bmo_1873120,core,css parsing and computation,P4,dev_0015,dev_0015,1,1.0,True,True,True,True,correct,dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005|dev_0006,[wpt-sync] Sync PR 43861 - Support logical direction relative units in highlights
global_majority,bmo_1873127,core,dom: core & html,P4,dev_0015,dev_0015,1,1.0,True,True,True,True,correct,dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005|dev_0006,"[wpt-sync] Sync PR 43863 - Prototype implementation of ""caching invariant"" for element array reflection."
component_majority,bmo_1873094,firefox,firefox view,P3,dev_0002,dev_0015,2,0.5,False,True,True,True,cold_start_component,dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005|dev_0006,Update the Firefox View Open Tabs test case to send a click on a menuitem itself instead of its container
component_majority,bmo_1873100,core,audio/video,P5,dev_0003,dev_0003,1,1.0,True,True,True,True,correct,dev_0003|dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005,Some append(nsPrintfCString(...)) should be replaced by AppendPrintf
component_majority,bmo_1873102,core,layout: scrolling and overflow,P4,dev_0015,dev_0015,1,1.0,True,True,True,True,correct,dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005|dev_0006,[wpt-sync] Sync PR 43858 - Do not round the clipping region with mixed overflow clip
component_majority,bmo_1873106,core,audio/video: playback,P1,dev_0001,dev_0001,1,1.0,True,True,True,True,correct,dev_0001|dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005,[wmfme] enable 'test_BufferedSeek.html' and 'test_BufferedSeek_mp4.html' for the wmfme
component_majority,bmo_1873114,core,audio/video: playback,P1,dev_0001,dev_0001,1,1.0,True,True,True,True,correct,dev_0001|dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005,Provide more debug information for AudioStream by using `TRACE_COMMENT`
component_majority,bmo_1873120,core,css parsing and computation,P4,dev_0015,dev_0015,1,1.0,True,True,True,True,correct,dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005|dev_0006,[wpt-sync] Sync PR 43861 - Support logical direction relative units in highlights
component_majority,bmo_1873127,core,dom: core & html,P4,dev_0015,dev_0002,2,0.5,False,True,True,True,wrong_assignee,dev_0002|dev_0015|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005|dev_0006,"[wpt-sync] Sync PR 43863 - Prototype implementation of ""caching invariant"" for element array reflection."
product_component_majority,bmo_1873094,firefox,firefox view,P3,dev_0002,dev_0002,1,1.0,True,True,True,True,correct,dev_0002|dev_0011|dev_0004|dev_0006|dev_0015|dev_0013|dev_0008|dev_0007|dev_0010|dev_0005,Update the Firefox View Open Tabs test case to send a click on a menuitem itself instead of its container
product_component_majority,bmo_1873100,core,audio/video,P5,dev_0003,dev_0003,1,1.0,True,True,True,True,correct,dev_0003|dev_0015|dev_0002|dev_0013|dev_0008|dev_0007|dev_0010|dev_0005|dev_0014|dev_0009,Some append(nsPrintfCString(...)) should be replaced by AppendPrintf
product_component_majority,bmo_1873102,core,layout: scrolling and overflow,P4,dev_0015,dev_0015,1,1.0,True,True,True,True,correct,dev_0015|dev_0002|dev_0013|dev_0008|dev_0007|dev_0010|dev_0005|dev_0003|dev_0014|dev_0009,[wpt-sync] Sync PR 43858 - Do not round the clipping region with mixed overflow clip
product_component_majority,bmo_1873106,core,audio/video: playback,P1,dev_0001,dev_0001,1,1.0,True,True,True,True,correct,dev_0001|dev_0015|dev_0002|dev_0013|dev_0008|dev_0007|dev_0010|dev_0005|dev_0003|dev_0014,[wmfme] enable 'test_BufferedSeek.html' and 'test_BufferedSeek_mp4.html' for the wmfme
product_component_majority,bmo_1873114,core,audio/video: playback,P1,dev_0001,dev_0001,1,1.0,True,True,True,True,correct,dev_0001|dev_0015|dev_0002|dev_0013|dev_0008|dev_0007|dev_0010|dev_0005|dev_0003|dev_0014,Provide more debug information for AudioStream by using `TRACE_COMMENT`
product_component_majority,bmo_1873120,core,css parsing and computation,P4,dev_0015,dev_0015,1,1.0,True,True,True,True,correct,dev_0015|dev_0002|dev_0013|dev_0008|dev_0007|dev_0010|dev_0005|dev_0003|dev_0014|dev_0009,[wpt-sync] Sync PR 43861 - Support logical direction relative units in highlights
product_component_majority,bmo_1873127,core,dom: core & html,P4,dev_0015,dev_0002,2,0.5,False,True,True,True,wrong_assignee,dev_0002|dev_0015|dev_0013|dev_0008|dev_0007|dev_0010|dev_0005|dev_0003|dev_0014|dev_0009,"[wpt-sync] Sync PR 43863 - Prototype implementation of ""caching invariant"" for element array reflection."
bm25_text_knn,bmo_1873094,firefox,firefox view,P3,dev_0002,dev_0002,1,1.0,True,True,True,True,correct,dev_0002|dev_0009|dev_0015|dev_0012|dev_0011|dev_0004|dev_0007|dev_0001|dev_0014|dev_0013,Update the Firefox View Open Tabs test case to send a click on a menuitem itself instead of its container
bm25_text_knn,bmo_1873100,core,audio/video,P5,dev_0003,dev_0001,4,0.25,False,False,True,True,long_tail_assignee,dev_0001|dev_0011|dev_0002|dev_0003|dev_0012|dev_0009|dev_0007|dev_0004|dev_0010|dev_0015,Some append(nsPrintfCString(...)) should be replaced by AppendPrintf
bm25_text_knn,bmo_1873102,core,layout: scrolling and overflow,P4,dev_0015,dev_0015,1,1.0,True,True,True,True,correct,dev_0015|dev_0002|dev_0009|dev_0004|dev_0005|dev_0012|dev_0003|dev_0010|dev_0007|dev_0001,[wpt-sync] Sync PR 43858 - Do not round the clipping region with mixed overflow clip
bm25_text_knn,bmo_1873106,core,audio/video: playback,P1,dev_0001,dev_0001,1,1.0,True,True,True,True,correct,dev_0001|dev_0003|dev_0015|dev_0010|dev_0014|dev_0002|dev_0012|dev_0011|dev_0004|dev_0007,[wmfme] enable 'test_BufferedSeek.html' and 'test_BufferedSeek_mp4.html' for the wmfme
bm25_text_knn,bmo_1873114,core,audio/video: playback,P1,dev_0001,dev_0001,1,1.0,True,True,True,True,correct,dev_0001|dev_0003|dev_0012|dev_0010|dev_0002|dev_0015|dev_0014|dev_0009|dev_0011|dev_0007,Provide more debug information for AudioStream by using `TRACE_COMMENT`
bm25_text_knn,bmo_1873120,core,css parsing and computation,P4,dev_0015,dev_0015,1,1.0,True,True,True,True,correct,dev_0015|dev_0002|dev_0004|dev_0012|dev_0011|dev_0003|dev_0005|dev_0007|dev_0009|dev_0010,[wpt-sync] Sync PR 43861 - Support logical direction relative units in highlights
bm25_text_knn,bmo_1873127,core,dom: core & html,P4,dev_0015,dev_0015,1,1.0,True,True,True,True,correct,dev_0015|dev_0012|dev_0002|dev_0004|dev_0007|dev_0003|dev_0011|dev_0005|dev_0009|dev_0010,"[wpt-sync] Sync PR 43863 - Prototype implementation of ""caching invariant"" for element array reflection."
current_assignee_triager,bmo_1873094,firefox,firefox view,P3,dev_0002,dev_0002,1,1.0,True,True,True,True,correct,dev_0002|dev_0015|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005|dev_0006,Update the Firefox View Open Tabs test case to send a click on a menuitem itself instead of its container
current_assignee_triager,bmo_1873100,core,audio/video,P5,dev_0003,dev_0003,1,1.0,True,True,True,True,correct,dev_0003|dev_0001|dev_0011|dev_0015|dev_0002|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004,Some append(nsPrintfCString(...)) should be replaced by AppendPrintf
current_assignee_triager,bmo_1873102,core,layout: scrolling and overflow,P4,dev_0015,dev_0015,1,1.0,True,True,True,True,correct,dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005|dev_0006,[wpt-sync] Sync PR 43858 - Do not round the clipping region with mixed overflow clip
current_assignee_triager,bmo_1873106,core,audio/video: playback,P1,dev_0001,dev_0001,1,1.0,True,True,True,True,correct,dev_0001|dev_0003|dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004,[wmfme] enable 'test_BufferedSeek.html' and 'test_BufferedSeek_mp4.html' for the wmfme
current_assignee_triager,bmo_1873114,core,audio/video: playback,P1,dev_0001,dev_0001,1,1.0,True,True,True,True,correct,dev_0001|dev_0003|dev_0012|dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010,Provide more debug information for AudioStream by using `TRACE_COMMENT`
current_assignee_triager,bmo_1873120,core,css parsing and computation,P4,dev_0015,dev_0015,1,1.0,True,True,True,True,correct,dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005|dev_0006,[wpt-sync] Sync PR 43861 - Support logical direction relative units in highlights
current_assignee_triager,bmo_1873127,core,dom: core & html,P4,dev_0015,dev_0015,1,1.0,True,True,True,True,correct,dev_0015|dev_0002|dev_0011|dev_0013|dev_0008|dev_0007|dev_0010|dev_0004|dev_0005|dev_0006,"[wpt-sync] Sync PR 43863 - Prototype implementation of ""caching invariant"" for element array reflection."
