ticket_id,component,priority,expected_assignee,predicted_assignee,rank,reciprocal_rank,is_top1_correct,is_hit_at_3,is_hit_at_5,source,error_type,confidence,ranked_candidates,reason,title
CTRL-001,authentication,P2,auth-team@example.com,auth-team@example.com,1,1.0,True,True,True,hybrid,correct,0.95,auth-team@example.com|backend-team@example.com|payments-team@example.com|data-team@example.com|build-team@example.com,"Assigned by hybrid ranking for component 'authentication' and priority P2; strongest signals: component_history, component_owner_mapping, text_similarity.",Login page crashes when token is missing
CTRL-002,auth,P2,auth-team@example.com,auth-team@example.com,1,1.0,True,True,True,hybrid,correct,0.906,auth-team@example.com|build-team@example.com|backend-team@example.com|payments-team@example.com|data-team@example.com,"Assigned by hybrid ranking for component 'auth' and priority P2; strongest signals: component_owner_mapping, text_similarity.",Auth callback rejects valid refresh token
CTRL-003,authentication-service,P2,auth-team@example.com,auth-team@example.com,1,1.0,True,True,True,hybrid,correct,0.949,auth-team@example.com|backend-team@example.com|payments-team@example.com|data-team@example.com|build-team@example.com,"Assigned by hybrid ranking for component 'authentication-service' and priority P2; strongest signals: component_owner_mapping, text_similarity.",Authentication service returns 401 after renewal
CTRL-004,email,P3,backend-team@example.com,backend-team@example.com,1,1.0,True,True,True,hybrid,correct,0.949,backend-team@example.com|auth-team@example.com|payments-team@example.com|data-team@example.com|build-team@example.com,"Assigned by hybrid ranking for component 'email' and priority P3; strongest signals: component_history, text_similarity.",Password reset email queue times out
CTRL-005,email,P3,backend-team@example.com,backend-team@example.com,1,1.0,True,True,True,hybrid,correct,0.949,backend-team@example.com|auth-team@example.com|payments-team@example.com|data-team@example.com|build-team@example.com,"Assigned by hybrid ranking for component 'email' and priority P3; strongest signals: component_history, text_similarity.",Welcome email has broken activation URL
CTRL-006,payment,P1,payments-team@example.com,payments-team@example.com,1,1.0,True,True,True,hybrid,correct,0.892,payments-team@example.com|frontend-team@example.com|backend-team@example.com|auth-team@example.com|data-team@example.com,"Assigned by hybrid ranking for component 'payment' and priority P1; strongest signals: component_history, text_similarity.",Payment webhook does not mark invoice paid
CTRL-007,payment,P2,payments-team@example.com,payments-team@example.com,1,1.0,True,True,True,hybrid,correct,0.948,payments-team@example.com|backend-team@example.com|auth-team@example.com|data-team@example.com|build-team@example.com,"Assigned by hybrid ranking for component 'payment' and priority P2; strongest signals: component_history, text_similarity.",Refund retry creates duplicate ledger entry
CTRL-008,search,P3,data-team@example.com,data-team@example.com,1,1.0,True,True,True,hybrid,correct,0.948,data-team@example.com|backend-team@example.com|auth-team@example.com|payments-team@example.com|build-team@example.com,"Assigned by hybrid ranking for component 'search' and priority P3; strongest signals: component_history, text_similarity.",Search index skips migrated records
CTRL-009,database,P2,data-team@example.com,data-team@example.com,1,1.0,True,True,True,hybrid,correct,0.8,data-team@example.com|frontend-team@example.com|backend-team@example.com|auth-team@example.com|payments-team@example.com,"Assigned by hybrid ranking for component 'database' and priority P2; strongest signals: component_owner_mapping, text_similarity.",Database migration leaves null total
CTRL-010,db,P2,data-team@example.com,data-team@example.com,1,1.0,True,True,True,hybrid,correct,0.678,data-team@example.com|build-team@example.com|backend-team@example.com|auth-team@example.com|payments-team@example.com,Assigned by hybrid ranking for component 'db' and priority P2; strongest signals: component_owner_mapping.,DB connection pool exhausts under load
