assignee,ticket_count,profile_confidence,top_products,top_components,top_priorities,top_keywords,representative_ticket_ids,inferred_responsibility
dev_0002,9,medium,firefox (6); core (3),dom: core & html (2); settings ui (2); general (2); dom: ui events & focus handling (1); search (1); protections ui (1),p3 (4); p5 (2); p1 (2); -- (1),chrome; chrome mochikit; mochikit; mochikit content; content; content tests; dom events; events,bmo_1872954; bmo_1872719; bmo_1872899; bmo_1872903; bmo_1872743,"Inferred from 9 historical tickets: likely focuses on dom: core & html, settings ui, general in firefox, core. Common work themes: chrome, chrome mochikit, mochikit, mochikit content, content."
dev_0015,9,medium,core (9),"css parsing and computation (3); dom: core & html (2); graphics: canvas2d (1); layout: images, video, and html frames (1); layout (1); css transitions and animations (1)",p4 (9),scope; sync; kscopeactivation; web-platform-tests; dcheck; units; rule; bugs.webkit.org,bmo_1872986; bmo_1872736; bmo_1872649; bmo_1872758; bmo_1872908,"Inferred from 9 historical tickets: likely focuses on css parsing and computation, dom: core & html, graphics: canvas2d in core. Common work themes: scope, sync, kscopeactivation, web-platform-tests, dcheck."
dev_0011,3,low,firefox (3),search (1); messaging system (1); new tab page (1),p2 (1); -- (1); p1 (1),react-test-renderer; newtab; chai-json-schema; able; aboutwelcome; aboutwelcome asrouter; appears react-test-renderer; asrouter,bmo_1873013; bmo_1873010; bmo_1872757,"Inferred from 3 historical tickets: likely focuses on search, messaging system, new tab page in firefox. Common work themes: react-test-renderer, newtab, chai-json-schema, able, aboutwelcome."
dev_0001,2,low,core (2),audio/video: playback (2),p1 (1); p5 (1),media test; test test_eme_mfcdm_generate_request.html; test_eme_mfcdm_generate_request.html; media; dom media; add_task; http; http mochi.test,bmo_1873011; bmo_1872973,"Inferred from 2 historical tickets: likely focuses on audio/video: playback in core. Common work themes: media test, test test_eme_mfcdm_generate_request.html, test_eme_mfcdm_generate_request.html, media, dom media."
dev_0003,2,low,core (2),audio/video (1); audio/video: web codecs (1),p1 (2),decodertemplate; ffmpegvideoencoder; smaller; bigger; functions; settings; audio video; core audio,bmo_1872871; bmo_1872951,"Inferred from 2 historical tickets: likely focuses on audio/video, audio/video: web codecs in core. Common work themes: decodertemplate, ffmpegvideoencoder, smaller, bigger, functions."
dev_0004,2,low,firefox (2),pdf viewer (2),p1 (1); -- (1),l10n; viewer.ftl; viewer.ftl l10n; l10n viewer.ftl; pdf.js; github.com mozilla; mozilla pdf.js; pdf.js commit,bmo_1872797; bmo_1872721,"Inferred from 2 historical tickets: likely focuses on pdf viewer in firefox. Common work themes: l10n, viewer.ftl, viewer.ftl l10n, l10n viewer.ftl, pdf.js."
dev_0005,2,low,core (2),panning and zooming (2),p3 (1); p4 (1),minimap; rects; border; border thickness; thickness; apz; apz minimap; thickness rects,bmo_1872901; bmo_1872772,"Inferred from 2 historical tickets: likely focuses on panning and zooming in core. Common work themes: minimap, rects, border, border thickness, thickness."
dev_0006,2,low,core (1); firefox (1),layout: text and fonts (1); general (1),-- (1); p1 (1),xpcomutils.definelazygetter; pref; remove; add linter; chromeutils.definelazygetter; chromeutils.definelazygetter add; default years; error xpcomutils.definelazygetter,bmo_1872784; bmo_1872922,"Inferred from 2 historical tickets: likely focuses on layout: text and fonts, general in core, firefox. Common work themes: xpcomutils.definelazygetter, pref, remove, add linter, chromeutils.definelazygetter."
dev_0007,2,low,core (2),javascript engine (1); javascript engine: jit (1),p3 (1); p2 (1),inlining; monomorphic; monomorphic inlining; trial; trial inlining; yaml; flag force; loading,bmo_1872666; bmo_1873027,"Inferred from 2 historical tickets: likely focuses on javascript engine, javascript engine: jit in core. Common work themes: inlining, monomorphic, monomorphic inlining, trial, trial inlining."
dev_0008,2,low,core (2),graphics: canvas2d (1); graphics: webrender (1),-- (2),builds worker; worker; checkouts; checkouts gecko; worker checkouts; builds; gfx; gecko gfx,bmo_1872776; bmo_1872646,"Inferred from 2 historical tickets: likely focuses on graphics: canvas2d, graphics: webrender in core. Common work themes: builds worker, worker, checkouts, checkouts gecko, worker checkouts."
