id,true_priority,predicted_priority,error_direction,severity,product,component,summary,description_snippet,stack_exception_signal,high_impact_signal,low_impact_signal,related_pull_to_high,related_pull_to_low,related_top1_priority,related_top3_avg_priority,related_top3_high_priority_rate,related_top3_low_priority_rate,creator,creation_time,status
1665,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,minor,jdt,debug,drop to frame hangs if after invoke (1gh3xda),"1. create cu test.java in default package: [public class test { public static void foo() { system.out.println(""foo""); system.out.println(""breakpoint""); // breakpoint on this line } public static void bar() { foo(); } public static void main(string[] args) throws exception { class clazz = test.class; java.lang.reflect.method method = clazz.getmethod(""bar"", new class[] {}); method.invoke(null, new object[] {}); } } ] 2. put a breakpoint in foo() where specified 3. run under debug with the j9 jr...",True,False,False,True,False,1.0,2.3333333333333335,0.3333333333333333,0.0,jerome_lanneluc@fr.ibm.com,2001-10-11 02:17:13+00:00,verified
3749,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,creation time for packages and hierarchy view is terrible (1geln0z),"i have been profiling the workbench to determine why the perspective | open action takes so long to run. the profiling revealed that 90% of the time is spent in the creation of view widgets. in the java perspective over 50% of the time is spent creating the parts for the packages view and hierarchy view. in my test scenario there are no resources in the workspace. however, the createpartcontrol method for the hierarchy view takes 4.6s to run. the createpartcontrol method for the package view ...",True,False,False,True,False,2.0,3.0,0.3333333333333333,0.3333333333333333,unknown@eclipse.org,2001-10-11 03:00:15+00:00,resolved
5062,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,walkback in synchronize clicking on 'two way compare (ignore ancestor)',"- load a java project from a repository - edit several java files in the project, deleting several methods (i am not sure if it is important, but there were methods added as well) - synchronize - double-click on the first modified java file so you can see the structured compare view - now click on the 'two way compare (ignore ancestor)' button - internal error, walkbacks in the log (pasted below) i have never clicked on that button before, so i don't even know what it does. log: tue oct 16 19...",True,True,False,False,False,3.0,3.0,0.0,0.0,carolynmacleod4@gmail.com,2001-10-18 02:51:13+00:00,resolved
5452,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,typehierarchy: can't see full label in method list,"the label is shown with ""..."" even though the view has a horizontal scrollbar. this is critical since when showin inherited members the lable can be long.",False,True,True,False,False,3.0,3.3333333333333335,0.0,0.3333333333333333,erich_gamma@ch.ibm.com,2001-11-02 09:48:48+00:00,resolved
5631,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,debug,breakpoint not reinstalled after hot swap,"using the following code: * put a breakpoint on the system.out * run to the breakpoint * change the string being printed & save * the programs drops to the ""main"" method as expected * when i resume the breakpoint is not hit (and should be) public class droptests { public static void main(string[] args) { droptests dt = new droptests(); dt.method1(); } public void method1() { method2(); } public void method2() { method3(); } public void method3() { method4(); } public void method4() { system.o...",False,False,False,False,False,3.0,2.3333333333333335,0.3333333333333333,0.0,darin.eclipse@gmail.com,2001-11-07 17:16:45+00:00,verified
6065,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,critical,pde,ui,mnemonics on plugin editor's pages conflict with menus,"build 20011116. - open a plugin.xml in the pde plugin editor. - select the runtime page - select the jar - hit alt+d - it gives focus to the first radiobutton (&export the entire library) - it should give focus to the edit menu also, in the java or debug perspective, ""&do not export"" conflicts with the debug menu. using mnemonics on dialogs is ok, because dialogs don't have menus. if you're using dialogs in a form in a main application window, you must be careful not to conflict with the menu...",False,False,False,False,True,5.0,3.6666666666666665,0.0,0.3333333333333333,n.a.edgar@gmail.com,2001-11-19 15:19:50+00:00,resolved
6121,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,platform,ui,viewing two preference pages gp's,"i suspect that this will be fixed once bug#5992 is fixed, but i'm logging it separately in case this isn't true. steps: - window -> preferences - show the workbench-fonts page - show the java-editor page <-- crashes the dump file was written empty.",False,True,True,False,False,3.0,2.6666666666666665,0.3333333333333333,0.0,grant_gayed@ca.ibm.com,2001-11-20 17:48:18+00:00,resolved
6431,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,core,arrayindexoutofboundsexception in the sourceindexer requestor,i compiled the following code and i got the stack trace below. version used: latest contents of jdtcore head on build 1127. [package p; public class a { protected void foo() { } protected a a; public class f { public class d { public class b { public void bar() { foo(); class c { void bar() { foo(); } } new c().bar(); } public object bar2() { foo(); return (new a() { object foo2() { foo(); return null; } }).foo2(); } } } } }] : 5 at (sourceindexerrequestor.java:243) at (s ourceindexerrequesto...,True,False,False,True,False,2.0,2.0,1.0,0.0,olivier_thomann@ca.ibm.com,2001-11-29 16:46:58+00:00,resolved
6808,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,javaelementcontentprovider issues,"javaelementcontentprovider (api) extends basejavaelementcontentprovider implements ielementchangedlistener there are several api issues. - javaelementcontentprovider is api, basejavaelementcontentprovider not. - why do we expose the ielementchangedlistener as api? this is very packageexplorer specific code. my suggestion is: javaelementcontentprovider in the api should be what is basejavaelementcontentprovider now. the package viewer should subclass this and add the ielementchangedlistener fu...",False,False,False,True,False,2.0,2.3333333333333335,0.6666666666666666,0.0,martinae@microsoft.com,2001-12-11 18:17:19+00:00,resolved
7110,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,platform,ui,saferunnableadapter.handleexception is eating throwable,saferunnableadapter.handleexception shows an error dialog but does not log the exception,True,False,False,True,False,1.0,1.6666666666666667,0.6666666666666666,0.0,randy_giffen@oti.com,2001-12-19 19:05:27+00:00,resolved
