ticket_id,component,priority,expected_assignee,predicted_assignee,rank,reciprocal_rank,is_top1_correct,is_hit_at_3,is_hit_at_5,source,error_type,confidence,ranked_candidates,reason,title
eclipse_193283,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",Clean project doesn't clean the artifact binary if it is located outside of the active configuration directory
eclipse_193286,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",Exclude/Include of the source file from the project causes recompilation of all files
eclipse_193305,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",Internal builder does not refresh whole output directory
eclipse_193386,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",[Scanner Discovery] Missing Builder: org.eclipse.cdt.make.core.ScannerConfigBuilder
eclipse_193831,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",[MBS] IConvertManagedBuildObject never called for the 2.0 projects when they are loaded
eclipse_194265,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",C++ Managed Make Project on path containing some characters cannot be built by CDT
eclipse_194495,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",CDT does not notice deletion of output folders
eclipse_195500,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",ant build scripts won't work anymore on 4.0
eclipse_196644,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",Mingw toolchain missing objdump
eclipse_197387,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.","""default"" builder selection if no builder is specified with the tool-chain"
eclipse_197955,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",Customize built-in includes
eclipse_198097,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",Make Target doesn't build if 'Build (Build Incremental)' is disabled
eclipse_199608,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",NPE in ManagedBuildManager
eclipse_199758,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.","On Windows with MinGW, if you use Managed Build and choose to use Parallel Build, pre-build events will not be executed and build will start from beginning"
eclipse_200303,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.","Unable to clean project if there are no CPP modules, so thare are no way to clean error markers"
eclipse_200855,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",Option Value Handler called with APPLY on simple edit
eclipse_201865,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",problem with writing relative and absolute path dring building of resiprocate code
eclipse_202841,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",CDT lets a user choose a tool for a header file
eclipse_203102,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.","Makefile outline doesn't understand ""else conditional-directive"""
eclipse_203537,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",Provide a resource_basename variable for make targets
eclipse_204988,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",CDT can't build with Microsoft SDK for the Subsystem for UNIX Applications (SUA)
eclipse_205113,cdt-build,P3,cdt-build-inbox@eclipse.org,cdt-build-inbox@eclipse.org,1,1.0,True,True,True,hybrid,correct,0.842,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,"Assigned by hybrid ranking for component 'cdt-build' and priority P3; strongest signals: component_history, text_similarity.",No build if file changed outside Eclipse
eclipse_348709,terminal,P2,cdt-core-inbox@eclipse.org,cdt-build-inbox@eclipse.org,3,0.3333333333333333,False,True,True,hybrid,cold_start_component,0.9,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,Assigned by hybrid ranking for component 'terminal' and priority P2; strongest signals: text_similarity.,[terminal] Revisit closing Terminal Reader Thread
eclipse_460497,terminal,P2,cdt-core-inbox@eclipse.org,cdt-build-inbox@eclipse.org,3,0.3333333333333333,False,True,True,hybrid,cold_start_component,0.9,cdt-build-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|cdt-core-inbox@eclipse.org|manual_triage,Assigned by hybrid ranking for component 'terminal' and priority P2; strongest signals: text_similarity.,[TERMINALS] Provide help documentation for terminals
eclipse_514256,terminal,P2,cdt-core-inbox@eclipse.org,cdt-build-inbox@eclipse.org,2,0.5,False,True,True,hybrid,cold_start_component,0.835,cdt-build-inbox@eclipse.org|cdt-core-inbox@eclipse.org|cdt-contrib-inbox@eclipse.org|manual_triage,Assigned by hybrid ranking for component 'terminal' and priority P2; strongest signals: text_similarity.,"[terminal] On Mac OSX, the default shell for the Terminal should be bash --login"
